objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252189585,756,301,3,756,1425,6,229.0066380159,-0.0873537464599333,22.98119,21.61889,21.34857,21.47127,20.86223,0.3106619,0.04811201,0.05631459,0.0917563,0.2109436
1237648721252189589,756,301,3,756,1429,6,229.008625259954,-0.0850760615794176,24.88345,23.45354,23.04691,22.39325,22.94579,0.6686833,0.2157533,0.2383233,0.202804,0.6311056
1237648721252189588,756,301,3,756,1428,6,229.00817877781,-0.0864691087726708,23.81632,22.59089,22.03779,21.92914,22.54701,0.6370111,0.1241543,0.1194169,0.1641414,0.7521949
1237648721252189586,756,301,3,756,1426,6,229.006400437232,-0.0850891946343961,23.09173,22.10886,21.89614,21.60522,23.0779,0.3430562,0.07234969,0.09168398,0.1059387,0.6355475
1237648721252189184,756,301,3,756,1024,6,229.01076192746,-0.0938391445136035,21.04222,19.74944,19.20252,18.96534,18.88449,0.06708272,0.01314419,0.01157818,0.01295773,0.04013428
1237648721252189190,756,301,3,756,1030,6,229.012736488695,-0.0913984090086265,23.95488,22.64461,22.14724,22.13436,21.4472,0.5946963,0.1110257,0.1110667,0.163314,0.342698
1237648721252189181,756,301,3,756,1021,6,229.009664357104,-0.0910500382714764,24.4646,21.29963,20.91656,20.86219,21.93891,0.7004225,0.03829614,0.04018293,0.05551177,0.4885692
1237648721252189180,756,301,3,756,1020,6,229.009422613613,-0.0900289692407021,21.91946,21.08966,20.56446,20.36812,20.41406,0.1318762,0.03373068,0.03095575,0.03713301,0.1436483
1237648721252189188,756,301,3,756,1028,6,229.011991442665,-0.0917594755865781,23.90076,22.34514,22.18326,21.95447,22.2252,0.5759884,0.08662027,0.1143405,0.139418,0.5554438
1237648721252190080,756,301,3,756,1920,6,229.013569574788,-0.0875381665532462,23.15315,22.30062,21.75537,21.65041,21.51851,0.3604003,0.08401998,0.08019186,0.1083154,0.3663638
1237648721252189179,756,301,3,756,1019,6,229.010838441831,-0.0893954850124389,19.89543,18.33508,17.67848,17.39374,17.2525,0.03101439,0.006486993,0.0055285,0.005830277,0.01286778
1237648721252189591,756,301,3,756,1431,6,229.009273705342,-0.086222155013777,25.68517,23.36071,23.02642,22.54821,22.23555,0.4818586,0.2203244,0.2588838,0.2566905,0.6214833
1237648721252190756,756,301,3,756,2596,6,228.987447434325,-0.0695693733913012,23.02501,21.79035,21.43451,21.29881,21.22976,0.3423564,0.05837317,0.06444273,0.08544932,0.3081245
1237648721252190769,756,301,3,756,2609,6,228.990044308976,-0.0708672718965605,23.62686,22.55736,21.96272,21.78673,21.53828,0.4975196,0.1025195,0.09430696,0.1196664,0.363583
