objid,ra,dec,u,g,r,i,z
1237648721252189985,228.996615473534,-0.113447257159459,22.3227,21.26239,20.92425,20.95614,20.55535
1237648721252189986,228.995337772694,-0.111623091462152,23.10456,21.74888,21.43327,21.58471,21.12946
1237648721252189118,228.999151104688,-0.0962563989650006,21.79809,20.61248,20.23211,20.13172,19.99485
1237648721252189117,228.996924932124,-0.0971777347731949,22.32037,20.30981,19.39386,19.11573,18.91145
1237648721252189119,228.998057272292,-0.0961378554694483,22.07322,21.35209,21.21944,21.13108,21.28552
1237648721252188378,228.994302712386,-0.0975339294092078,25.48612,22.97606,22.53779,22.09285,22.60237
1237648721252188373,228.992686757369,-0.0965724602634858,18.77789,17.51364,17.40811,17.3887,17.40093
1237648721252188374,228.990858228584,-0.0982405920972814,18.83153,17.92451,17.5837,17.45781,17.38446
1237648721252189061,228.987890695075,-0.107269585519644,24.67116,23.01011,21.57088,20.23581,19.55881
1237648721252189060,228.990291080816,-0.107440570830483,20.69393,19.5715,19.05298,18.8734,18.76207
1237648721252189939,228.989929138711,-0.102192688671211,23.69481,22.37553,22.16673,21.94062,21.99694
1237648721252188461,228.992091210065,-0.105106526669183,21.03931,20.10313,19.79442,19.73666,19.67922
1237648721252188444,228.993094951783,-0.103174431764827,20.72878,19.35275,18.77805,18.53331,18.37399
1237648721252189196,229.013606561285,-0.139478220947472,22.13072,21.03591,20.76147,20.58479,20.67401
1237648721252189253,229.013789737513,-0.131896897234077,23.39076,22.97172,22.81937,22.41973,22.64947
1237648721252189255,229.013901172567,-0.134691826876897,22.2517,20.35262,19.60408,19.30733,19.10979
1237648721252188567,229.005926140115,-0.133272441648308,22.0012,20.67566,20.34339,20.20337,20.27951
1237648721252188561,229.008355455349,-0.134100565766593,18.90482,16.95475,16.1551,15.8155,15.61606
1237648721252188572,229.006833165947,-0.134244599223518,23.03382,23.67705,21.19188,20.69459,21.71533
1237648721252188438,229.015050710833,-0.121378611626419,19.83191,18.26699,17.61012,17.34911,17.19778
1237648721252191311,229.010378803986,-0.120532465074409,23.57415,23.77404,22.59722,23.24042,22.30145
1237648721252189242,229.014675681124,-0.126852122625666,21.74298,20.97256,20.67778,20.60332,20.65009
1237648721252189241,229.016296888031,-0.125231668543812,21.21308,20.16427,19.82517,19.7134,19.7543
1237648721252188434,229.013166246141,-0.121244886846284,21.95259,19.46589,18.04036,17.03835,16.47813
1237648721252189989,228.997620816743,-0.121501177198543,22.02445,21.26979,21.0286,20.76801,20.80266
1237648721252189990,228.997994126409,-0.119736385951436,23.99962,22.51047,22.30857,22.28413,22.06568
1237648721252189988,228.998165616873,-0.120677469097556,21.89603,20.57089,20.21128,20.13133,19.98273
1237648721252190840,229.006514184559,-0.131252496126661,23.20166,22.2509,21.8018,21.54967,21.17495
1237648721252190858,229.010847955458,-0.129426909570923,24.05464,22.78401,22.18647,22.03718,21.62023
1237648721252190859,229.01011693775,-0.130867880119734,23.52461,23.41594,22.57918,23.2418,22.56
1237648721252188451,229.006586324038,-0.125841110453159,21.09663,19.86732,19.30284,19.075,18.96922
1237648721252188513,228.996667092995,-0.116684323762238,22.12716,21.05483,20.70467,20.58336,21.23529
1237648721252190825,229.004880429734,-0.11875243596571,25.22638,22.8356,22.48203,22.20491,21.98112
1237648721252189123,228.999086578735,-0.108662888319769,22.34752,21.59664,21.25279,21.10566,21.60684
1237648721252188458,229.000475028972,-0.113131295861472,21.67586,20.31054,19.75828,19.55433,19.4826
1237648721252190803,228.999303118625,-0.110764777020728,23.4042,23.33947,23.03042,22.54295,21.62278
1237648721252188488,229.001421949266,-0.115370078814965,21.76555,20.57678,20.1951,20.09064,20.85185
1237648721252188473,229.007734250279,-0.117579242737593,21.77278,20.53566,20.02502,19.88392,19.81454
1237648721252188485,229.011024755998,-0.118531768944449,21.69704,20.54176,20.1511,19.98459,19.92511
1237648721252188472,229.008040708973,-0.116664191809037,22.01275,21.19681,20.89589,20.756,20.61896
1237648721252188459,229.008515863846,-0.117001822659875,21.38839,20.17739,19.8561,19.7273,19.75306
1237648721252189131,229.001325203033,-0.099985133534176,19.71843,18.19347,17.57315,17.29651,17.15314
