"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2014 SJ262)","11","25.5","14 - 62","7","8.434, 250","11.952, 178","42734","? 2026-02 [23.9] ?","none","none","bK14SQ2J"
"(2008 GL20)","11","26.6","8.3 - 37","6","8.573, 378","11.899, 194","42635","none","none","none","bK08G20L"
"(2018 FB2)","2","25.6","13 - 59","7","7.654, 354","11.988, 218","42595","? 2024-08 [21.6] ?","none","none","bK18F02B"
"(2019 CB5)","1","28.3","3.8 - 17","8","8.508, 450","11.899, 186","42541","none","none","none","bK19C05B"
"(2016 SA2)","13","28.2","4.0 - 18","5","8.065, 354","11.991, 178","42278","none","none","none","bK16S02A"
"(2011 EX4)","17","24.6","21 - 94","1","9.245, 306","11.944, 178","42046","2030-02 [18.6]","2030-02 [210]","none","bK11E04X"
"(2014 OC4)","7","25.5","14 - 62","6","7.105, 370","11.942, 178","42019","? 2028-12 [21.9] ?","none","none","bK14O04C"
"363305 (2002 NV16)","91","21.4","91 - 408","0","7.970, 218","11.677, 114","41943","2020-03 [20.9]","none","none","a0363305"
"(2019 MT)","14","24.8","19 - 85","4","7.755, 362","11.928, 186","41929","2023-12 [23.5]","none","none","bK19M00T"
"(2005 YA37)","20","22.3","60 - 270","0","8.654, 426","11.764, 90","41380","2021-10 [20.9]","2035-02 [47]","2035-02 [20]","bK05Y37A"
"(2017 AT20)","2","27.1","6.5 - 29","8","8.936, 402","11.852, 266","41301","none","none","none","bK17A20T"
"(2016 AO131)","20","24.2","25 - 112","0","9.784, 354","11.969, 90","41014","2021-08 [20.1]","none","none","bK16AD1O"
"(2014 DQ)","11","24.7","20 - 89","7","8.047, 362","11.872, 178","40864","? 2034-07 [23.2] ?","none","none","bK14D00Q"
"(2020 AC1)","5","28.4","3.6 - 16","6","8.461, 346","11.992, 138","40806","? 2024-01 [23.6] ?","none","none","bK20A01C"
"(2007 EK)","11","29.3","2.4 - 11","6","8.031, 378","11.808, 282","40713","? 2032-08 [23.7] ?","none","none","bK07E00K"
"(2017 CR1)","2","27.8","4.8 - 21","7","6.798, 362","11.989, 202","40621","none","none","none","bK17C01R"
"(2015 SZ2)","23","25.4","14 - 65","3","8.066, 330","11.874, 154","40424","2037-01 [22.2]","none","none","bK15S02Z"
"(2018 CY)","13","23.5","35 - 155","5","9.267, 450","11.896, 210","40084","2022-11 [23.1]","2027-04 [23]","none","bK18C00Y"
"(2014 OS338)","5","27.0","6.9 - 31","7","7.833, 362","11.858, 162","39923","? 2029-02 [23.8] ?","none","none","bK14OX8S"
"(2017 BY)","9","25.5","14 - 62","6","8.298, 298","11.971, 170","39869","? 2031-08 [23.4] ?","none","none","bK17B00Y"
"(2017 HS3)","4","25.6","13 - 59","7","7.650, 378","11.859, 162","39707","? 2028-10 [22.2] ?","none","none","bK17H03S"
"(2019 YT1)","6","25.4","14 - 65","5","8.106, 370","11.979, 138","39550","2020-03 [23.8]","none","none","bK19Y01T"
"(2016 FZ12)","4","26.7","8.0 - 36","7","8.178, 370","11.994, 258","38950","? 2022-03 [18.1] ?","none","none","bK16F12Z"
"(2010 RE)","7","27.5","5.5 - 25","7","8.040, 370","11.961, 274","38702","? 2030-09 [23.9] ?","none","none","bK10R00E"
"(2017 YS1)","2","28.9","2.9 - 13","4","7.456, 354","11.890, 282","38681","none","none","none","bK17Y01S"
