"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2017 WZ12)","4","26.9","7.3 - 32","7","9.503, 370","11.999, 186","38594","none","none","none","bK17W12Z"
"(2017 BL30)","40","23.3","38 - 170","4","7.998, 346","11.933, 202","38463","2022-11 [21.5]","2029-07 [190]","none","bK17B30L"
"(2004 BV18)","16","25.9","11 - 51","6","8.121, 394","11.880, 58","38446","? 2040-12 [19.2] ?","none","none","bK04B18V"
"(2013 US4)","6","26.2","10 - 45","7","7.747, 370","11.898, 194","38263","? 2023-10 [23.6] ?","none","none","bK13U04S"
"(2001 KM20)","16","23.8","30 - 135","0","7.626, 330","11.983, 194","38237","2024-01 [23.4]","none","none","bK01K20M"
"(2012 DT60)","8","22.1","66 - 296","6","8.258, 370","11.976, 138","38176","2020-03 [23.1]","none","none","bK12D60T"
"(2011 YU74)","21","23.0","44 - 195","1","8.009, 306","11.876, 122","38110","2021-10 [22.9]","2025-04 [22]","2025-05 [14]","bK11Y74U"
"(2007 YJ1)","10","25.3","15 - 68","6","8.983, 386","11.979, 98","38054","? 2024-08 [23.8] ?","none","none","bK07Y01J"
"(2019 BB5)","4","26.7","8.0 - 36","7","9.021, 330","11.833, 178","37928","? 2032-01 [20.1] ?","none","none","bK19B05B"
"(2018 VQ1)","7","24.5","22 - 98","5","7.906, 370","11.934, 146","37927","2027-01 [23.6]","none","none","bK18V01Q"
"(2012 KT12)","9","26.8","7.6 - 34","0","8.419, 450","11.977, 186","37907","none","none","none","bK12K12T"
"(2008 PW4)","18","22.3","60 - 270","0","8.962, 418","11.856, 210","37795","2023-05 [19.6]","none","none","bK08P04W"
"(2011 OK45)","5","27.6","5.3 - 23","8","7.645, 346","11.585, 50","37759","? 2033-06 [19.9] ?","none","none","bK11O45K"
"(2017 RS2)","14","26.4","9.1 - 41","6","8.583, 442","11.967, 130","37667","none","none","none","bK17R02S"
"(2015 FD)","8","26.6","8.3 - 37","6","9.259, 362","11.989, 266","37640","? 2021-04 [23.8] ?","none","none","bK15F00D"
"(2019 UB6)","1","28.4","3.6 - 16","6","8.891, 394","11.805, 266","37630","none","none","none","bK19U06B"
"(2013 GN3)","16","23.6","33 - 148","3","8.289, 378","11.835, 138","37573","2020-07 [23.1]","none","none","bK13G03N"
"(2019 VX2)","1","28.8","3.0 - 14","7","7.810, 306","11.991, 154","37550","none","none","none","bK19V02X"
"(2014 FK38)","4","25.2","16 - 71","6","8.519, 362","11.996, 266","37528","none","none","none","bK14F38K"
"(2014 SS261)","8","26.3","10 - 43","3","7.774, 362","11.810, 154","37354","none","none","none","bK14SQ1S"
"(2018 EF4)","7","26.3","10 - 43","6","8.007, 362","11.999, 130","37316","? 2026-10 [23.5] ?","none","none","bK18E04F"
"(2018 EX)","8","27.0","6.9 - 31","6","8.654, 394","11.989, 82","37199","? 2034-03 [22.7] ?","none","none","bK18E00X"
"(2016 WU)","8","27.3","6.0 - 27","6","8.531, 378","11.925, 282","37162","none","none","none","bK16W00U"
"(2016 NJ22)","3","28.4","3.6 - 16","5","8.562, 370","11.715, 282","37026","none","none","none","bK16N22J"
"(2006 BV39)","8","29.1","2.6 - 12","6","8.602, 450","11.891, 218","37001","none","none","none","bK06B39V"
"(2013 SB21)","14","27.0","6.9 - 31","6","8.718, 386","11.946, 58","36972","? 2030-08 [20.4] ?","none","none","bK13S21B"
"(2008 PG2)","26","22.7","50 - 224","0","8.094, 362","11.968, 234","36847","2020-03 [22.1]","none","none","bK08P02G"
"(2006 CK)","6","25.8","12 - 54","8","8.802, 346","11.912, 234","36745","? 2042-07 [23.0] ?","none","none","bK06C00K"
"(2011 GR59)","13","23.7","32 - 142","8","7.614, 322","11.951, 146","36720","? 2021-10 [23.3] ?","none","none","bK11G59R"
"(2019 UX)","2","26.1","10 - 47","8","8.646, 378","11.936, 274","36365","? 2044-03 [22.6] ?","none","none","bK19U00X"
"(2011 MW1)","23","22.3","60 - 270","1","9.027, 386","11.847, 322","36287","2023-05 [23.5]","2024-07 [3200]","2024-07 [100]","bK11M01W"
"(2014 LL26)","8","25.3","15 - 68","6","7.175, 370","11.696, 98","36138","? 2025-04 [18.8] ?","none","none","bK14L26L"
"(2019 LB2)","6","27.0","6.9 - 31","5","8.485, 450","11.981, 146","36087","none","none","none","bK19L02B"
"329437 (2002 OA22)","151","19.4","229 - 1026","0","8.940, 378","11.949, 226","36004","2020-07 [21.3]","2022-08 [46]","2032-09 [240]","a0329437"
"(2019 LA6)","4","23.2","40 - 178","1","8.906, 410","11.752, 282","35899","2023-02 [21.7]","none","none","bK19L06A"
"(2017 UJ43)","3","27.7","5.0 - 22","7","8.423, 322","11.979, 178","35336","none","none","none","bK17U43J"
"(2017 TF1)","9","26.7","8.0 - 36","5","8.839, 450","11.897, 202","35286","none","none","none","bK17T01F"
"(2017 YC1)","2","23.6","33 - 148","9","9.365, 242","11.939, 154","35071","? 2020-07 [20.6] ?","none","none","bK17Y01C"
"(2017 EU2)","2","25.3","15 - 68","7","8.355, 386","11.968, 258","35049","? 2028-08 [22.2] ?","none","none","bK17E02U"
"(2016 NL39)","21","27.6","5.3 - 23","6","7.260, 338","11.771, 42","35011","? 2030-06 [16.5] ?","none","none","bK16N39L"
"(2010 XX72)","20","22.1","66 - 296","0","10.014, 426","11.993, 282","34977","2021-11 [23.7]","none","none","bK10X72X"
"(2015 OV)","17","23.6","33 - 148","4","7.480, 362","11.817, 138","34769","2022-03 [22.9]","none","none","bK15O00V"
"(2015 FA341)","8","24.3","24 - 107","5","7.889, 370","11.790, 154","34636","2024-05 [23.7]","none","none","bK15FY1A"
"(2016 JX24)","7","25.4","14 - 65","6","8.933, 370","11.762, 146","34419","2037-04 [23.2]","none","none","bK16J24X"
"(2015 NG13)","6","24.9","18 - 81","7","8.941, 418","11.931, 138","34278","2034-06 [23.5]","none","none","bK15N13G"
"(2018 WH)","4","29.8","1.9 - 8.5","6","8.154, 354","11.845, 226","34249","? 2022-11 [20.9] ?","none","none","bK18W00H"
"(2007 UD6)","10","28.3","3.8 - 17","6","8.758, 450","11.934, 146","34117","none","none","none","bK07U06D"
"(2017 WF16)","1","29.1","2.6 - 12","6","8.707, 362","11.934, 114","34059","none","none","none","bK17W16F"
"(2020 DE2)","2","27.5","5.6 - 25","8","8.119, 378","11.465, 50","34040","2020-03 [22.1]","none","none","bK20D02E"
"(2016 EO156)","7","28.9","2.9 - 13","7","8.783, 322","11.713, 122","33958","none","none","none","bK16EF6O"
"(2017 KA5)","6","25.6","13 - 59","7","9.568, 362","11.775, 154","33849","? 2022-05 [23.8] ?","none","none","bK17K05A"
"(2017 SV17)","5","25.7","13 - 56","7","9.553, 362","11.912, 234","33830","? 2038-09 [21.1] ?","none","none","bK17S17V"
"(2019 AR8)","2","25.5","14 - 62","6","9.539, 370","11.841, 274","33819","2023-10 [23.5]","2030-01 [43]","none","bK19A08R"
"(2015 SH)","7","28.1","4.2 - 19","6","7.354, 362","11.892, 138","33788","? 2024-09 [22.6] ?","none","none","bK15S00H"
"(2002 TY59)","17","25.5","14 - 62","6","9.107, 394","11.997, 314","33678","? 2033-02 [23.1] ?","none","none","bK02T59Y"
"(2019 WP6)","1","26.1","10 - 47","8","8.772, 370","11.855, 162","33605","none","none","none","bK19W06P"
"(2020 BH)","10","28.2","3.9 - 17","6","7.631, 378","11.852, 34","33544","none","none","none","bK20B00H"
"(2014 EU)","12","27.7","5.0 - 22","6","8.687, 426","11.858, 114","33475","none","none","none","bK14E00U"
"(2014 HT46)","15","26.6","8.3 - 37","3","8.513, 306","11.968, 170","33431","2043-07 [23.3]","none","none","bK14H46T"
"(2019 JD6)","8","24.6","21 - 94","5","7.861, 354","11.997, 194","33364","2023-09 [23.4]","none","none","bK19J06D"
"(2020 BK)","2","26.7","8.1 - 36","7","7.742, 194","11.861, 66","33302","none","none","none","bK20B00K"
"(2011 PN1)","7","27.4","5.8 - 26","8","8.842, 450","11.998, 226","33277","none","none","none","bK11P01N"
"(2020 BS)","7","28.0","4.4 - 20","7","8.052, 370","11.740, 58","33196","none","none","none","bK20B00S"
"(2017 WO16)","1","25.0","17 - 78","6","8.415, 378","11.941, 266","33180","2036-11 [22.7]","none","none","bK17W16O"
"10302 (1989 ML)","106","19.4","229 - 1026","0","9.602, 410","11.971, 194","33017","2021-10 [15.9]","2022-06 [390]","2022-06 [21]","a0010302"
"208023 (1999 AQ10)","121","20.5","138 - 618","0","9.212, 394","11.970, 282","32890","2024-11 [22.4]","2035-09 [14]","none","a0208023"
"(2016 NV22)","4","24.9","18 - 81","7","7.674, 346","11.829, 146","32809","? 2020-06 [19.9] ?","none","none","bK16N22V"
"(2013 HO11)","22","23.0","44 - 195","5","7.959, 346","11.882, 194","32671","2022-01 [22.8]","none","none","bK13H11O"
"(2016 NJ56)","3","24.4","23 - 103","9","9.309, 362","11.935, 186","32550","? 2023-02 [22.2] ?","none","none","bK16N56J"
"(2020 BL8)","9","25.7","12 - 56","5","8.102, 386","11.998, 42","32521","2020-03 [21.0]","none","none","bK20B08L"
"(2010 WA9)","14","25.6","13 - 59","7","8.336, 346","11.823, 242","32505","? 2029-11 [16.7] ?","none","none","bK10W09A"
"510529 (2012 EY11)","27","21.7","80 - 356","0","7.881, 370","11.999, 114","32404","2021-06 [23.7]","2027-09 [120]","none","a0510529"
"(2018 BG5)","6","24.0","28 - 123","7","8.800, 450","11.865, 258","32391","? 2023-05 [18.8] ?","none","none","bK18B05G"
"(2016 ED157)","22","24.4","23 - 103","0","9.977, 378","11.979, 250","32359","2022-01 [20.9]","none","none","bK16EF7D"
"(2014 QZ295)","9","24.8","19 - 85","6","9.284, 450","11.992, 330","32219","2025-05 [22.8]","none","none","bK14QT5Z"
"(2019 KK3)","8","27.1","6.6 - 30","7","8.449, 362","11.896, 186","32141","none","none","none","bK19K03K"
"(2013 GM3)","18","26.3","10 - 43","7","8.961, 330","11.992, 202","32032","? 2026-03 [16.9] ?","none","none","bK13G03M"
"(2014 BT32)","4","25.0","17 - 78","8","7.275, 370","11.981, 138","31949","? 2032-05 [22.6] ?","none","none","bK14B32T"
"(2019 YL4)","7","24.4","23 - 103","5","9.570, 450","11.896, 170","31933","2020-03 [24.0]","none","none","bK19Y04L"
"(2015 KG158)","6","28.3","3.8 - 17","6","7.850, 370","11.997, 234","31926","none","none","none","bK15KF8G"
"433953 (1997 XR2)","78","20.7","126 - 564","0","8.288, 354","11.988, 274","31706","2023-12 [22.2]","2025-06 [290]","2044-06 [1400]","a0433953"
"(2016 RQ1)","7","24.8","19 - 85","4","8.279, 370","11.943, 170","31401","2035-07 [22.9]","none","none","bK16R01Q"
"(2017 CP)","3","27.2","6.3 - 28","7","7.188, 370","11.954, 234","31329","? 2023-02 [23.6] ?","none","none","bK17C00P"
"(2019 TA)","5","29.4","2.3 - 10","7","7.563, 346","11.988, 106","31272","? 2044-09 [17.3] ?","none","none","bK19T00A"
"(2014 UK175)","4","27.1","6.6 - 30","7","7.600, 370","11.994, 202","31248","? 2033-10 [21.6] ?","none","none","bK14UH5K"
"(2019 GR5)","1","27.0","6.9 - 31","7","7.608, 370","11.899, 186","31226","none","none","none","bK19G05R"
"(2018 LC1)","13","24.9","18 - 81","6","8.399, 362","11.940, 170","31202","? 2021-12 [23.8] ?","none","none","bK18L01C"
"(2011 CA7)","7","30.3","1.5 - 6.8","7","8.571, 450","11.952, 306","31172","none","none","none","bK11C07A"
"(2019 UO7)","4","27.6","5.3 - 23","6","8.668, 338","11.901, 194","31147","none","none","none","bK19U07O"
"(2015 AP44)","6","26.2","10 - 45","7","9.146, 450","11.980, 178","31143","? 2027-12 [23.9] ?","none","none","bK15A44P"
"(2018 GF4)","16","25.2","16 - 71","7","8.365, 386","11.821, 58","30781","? 2042-12 [22.1] ?","none","none","bK18G04F"
"(2006 SP19)","14","24.2","25 - 112","7","9.784, 362","11.988, 250","30679","? 2020-07 [20.6] ?","none","none","bK06S19P"
"(2019 SU1)","2","28.4","3.6 - 16","5","7.668, 386","11.895, 322","30602","none","none","none","bK19S01U"
"(2013 SM20)","10","24.8","19 - 85","7","9.956, 210","11.925, 146","30476","? 2020-09 [19.8] ?","none","none","bK13S20M"
"(2020 DG4)","1","28.3","3.8 - 17","7","8.404, 322","11.792, 162","30318","2020-03 [22.3]","none","none","bK20D04G"
"309214 (2007 LL)","79","20.4","145 - 647","1","9.481, 394","11.980, 194","30031","2035-06 [22.6]","2042-06 [33]","none","a0309214"
"(2011 YT62)","14","22.4","58 - 258","2","7.491, 194","11.696, 90","29646","2020-03 [21.9]","2032-11 [2.e4]","2032-11 [380]","bK11Y62T"
"(2018 FM3)","3","27.2","6.3 - 28","5","7.840, 410","11.983, 338","29598","none","none","none","bK18F03M"
"(2013 RT9)","6","26.5","8.7 - 39","6","7.979, 362","11.864, 154","29403","? 2041-08 [23.1] ?","none","none","bK13R09T"
"(2014 NZ64)","10","22.9","46 - 205","3","9.062, 378","11.912, 290","29358","2032-06 [22.2]","2036-03 [77]","none","bK14N64Z"
"(2019 DA)","12","23.1","42 - 187","1","8.508, 370","11.897, 290","29232","2020-03 [23.8]","2036-02 [110]","none","bK19D00A"
"(2016 FH39)","3","24.3","24 - 107","8","9.341, 450","11.951, 226","29195","? 2022-11 [20.9] ?","none","none","bK16F39H"
"(2014 SU1)","14","25.1","17 - 74","0","8.540, 370","11.705, 250","29150","2023-02 [23.6]","none","none","bK14S01U"
"89136 (2001 US16)","157","20.2","159 - 709","0","9.206, 410","11.990, 82","28990","2020-06 [20.8]","2034-05 [4.9e4]","2034-05 [1.e3]","a0089136"
"(2015 EO7)","12","25.6","13 - 59","6","8.977, 378","11.970, 162","28839","? 2026-02 [23.7] ?","none","none","bK15E07O"
"(2016 SW1)","5","28.5","3.5 - 16","6","8.007, 362","11.958, 114","28684","none","none","none","bK16S01W"
"(2002 BF25)","38","22.2","63 - 282","0","8.713, 362","11.948, 258","28459","2020-03 [23.9]","2020-07 [6700]","2020-07 [370]","bK02B25F"
"382875 (2004 KE1)","40","21.7","80 - 356","0","9.432, 378","11.966, 98","28352","2020-03 [23.4]","none","none","a0382875"
"(2016 CF194)","39","24.1","26 - 118","4","8.691, 442","11.973, 130","28169","2022-09 [23.8]","none","none","bK16CJ4F"
"459872 (2014 EK24)","96","23.3","38 - 170","0","8.468, 410","11.997, 330","27952","2020-03 [23.2]","none","none","a0459872"
"(2010 XO69)","6","27.1","6.6 - 30","8","7.909, 346","11.910, 202","27942","? 2037-05 [21.9] ?","none","none","bK10X69O"
"(2020 DP4)","2","25.1","16 - 74","8","8.275, 346","11.942, 250","27832","2020-03 [17.6]","2020-03 [590]","2020-03 [820]","bK20D04P"
"(2017 SE12)","4","26.9","7.3 - 32","7","8.410, 354","11.902, 258","27465","? 2023-03 [19.5] ?","none","none","bK17S12E"
"(2020 BC16)","3","25.3","15 - 67","6","8.873, 370","11.990, 306","27314","2020-03 [21.4]","none","none","bK20B16C"
"(2017 DR109)","2","27.6","5.3 - 23","6","8.142, 450","11.958, 362","27214","none","none","none","bK17DA9R"
"(2016 JB)","14","27.1","6.6 - 30","5","8.074, 370","11.978, 114","27080","? 2029-04 [21.0] ?","none","none","bK16J00B"
"(2010 VD139)","9","26.2","10 - 45","8","9.199, 354","11.837, 210","27022","? 2024-11 [23.9] ?","none","none","bK10VD9D"
"(2016 UP41)","16","21.7","80 - 356","3","8.963, 426","11.945, 330","26934","2023-11 [23.7]","2026-08 [16]","none","bK16U41P"
"(2010 VB1)","31","23.2","40 - 178","0","8.916, 394","11.774, 258","26804","2021-11 [23.3]","2028-01 [32]","none","bK10V01B"
"(2015 RW35)","4","29.2","2.5 - 11","7","8.705, 306","11.966, 146","26352","none","none","none","bK15R35W"
"(2004 FH)","22","25.7","13 - 56","0","9.116, 330","11.985, 162","26346","2021-01 [19.9]","2041-01 [23]","2044-03 [65]","bK04F00H"
"(1996 BG1)","14","23.8","30 - 135","2","9.786, 418","11.939, 258","26261","2023-11 [20.6]","none","none","bJ96B01G"
"(2006 SF281)","8","27.1","6.6 - 30","9","9.001, 394","11.806, 74","26241","? 2026-09 [23.3] ?","none","none","bK06SS1F"
"(2015 HK10)","3","26.1","10 - 47","9","8.210, 370","11.870, 226","26087","? 2024-10 [23.8] ?","none","none","bK15H10K"
"(2019 FD)","19","23.3","38 - 170","4","8.999, 378","11.936, 314","25915","2020-03 [22.0]","none","none","bK19F00D"
"(2014 AG5)","10","22.5","55 - 246","1","8.590, 370","11.983, 266","25691","2020-03 [23.7]","none","none","bK14A05G"
"(2006 CL9)","29","22.8","48 - 214","6","8.903, 394","11.998, 90","25546","2020-03 [23.4]","none","none","bK06C09L"
"(2012 CS46)","6","27.7","5.0 - 22","7","9.039, 362","11.825, 258","25520","none","none","none","bK12C46S"
"(2008 HQ3)","8","27.5","5.5 - 25","8","7.889, 370","11.220, 42","25492","? 2038-04 [18.3] ?","none","none","bK08H03Q"
"(2019 ER1)","6","23.6","33 - 148","0","8.795, 370","11.943, 130","25411","2022-12 [19.1]","none","none","bK19E01R"
"(2015 KU154)","9","25.0","17 - 78","7","8.826, 394","11.939, 250","25383","? 2024-04 [23.4] ?","none","none","bK15KF4U"
"(2014 CS13)","15","24.0","28 - 123","7","8.749, 338","11.949, 242","25342","? 2021-02 [22.9] ?","none","none","bK14C13S"
"(2012 VJ38)","7","28.5","3.5 - 16","6","8.422, 394","11.553, 58","25186","none","none","none","bK12V38J"
